BillingPeriodStart,BillingPeriodEnd,ChargePeriodStart,ChargePeriodEnd,ListCost,ContractedCost,BilledCost,EffectiveCost,ResourceId,ResourceName,ServiceName,Tags
2025-12-01,2025-12-31,2025-12-01,2025-12-31,1350.00,1147.50,1147.50,1147.50,i-0abc123def456789a,genomics-compute-01,Amazon EC2,"{""pi_email"": ""chen.wei@example.edu"", ""project_id"": ""genomics-sequencing"", ""fund_org"": ""BIO-2024-001""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,980.00,833.00,833.00,833.00,i-0abc123def456789b,genomics-compute-02,Amazon EC2,"{""pi_email"": ""chen.wei@example.edu"", ""project_id"": ""genomics-sequencing"", ""fund_org"": ""BIO-2024-001""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,520.00,442.00,442.00,442.00,vol-0def456789abc123a,genomics-data-vol,Amazon EBS,"{""pi_email"": ""chen.wei@example.edu"", ""project_id"": ""genomics-sequencing"", ""fund_org"": ""BIO-2024-001""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,145.00,123.25,123.25,123.25,bucket-genomics-raw,genomics-raw-data,Amazon S3,"{""pi_email"": ""chen.wei@example.edu"", ""project_id"": ""genomics-sequencing"", ""fund_org"": ""BIO-2024-001""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,2600.00,2210.00,2210.00,2210.00,i-0xyz789abc123def0,ml-training-gpu-01,Amazon EC2,"{""pi_email"": ""chen.wei@example.edu"", ""project_id"": ""protein-folding-ml"", ""fund_org"": ""NIH-R01-2023""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,2600.00,2210.00,2210.00,2210.00,i-0xyz789abc123def1,ml-training-gpu-02,Amazon EC2,"{""pi_email"": ""chen.wei@example.edu"", ""project_id"": ""protein-folding-ml"", ""fund_org"": ""NIH-R01-2023""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,110.00,93.50,93.50,93.50,bucket-ml-models,ml-model-storage,Amazon S3,"{""pi_email"": ""chen.wei@example.edu"", ""project_id"": ""protein-folding-ml"", ""fund_org"": ""NIH-R01-2023""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,1050.00,892.50,892.50,892.50,i-neuroimaging-proc1,brain-processing-01,Amazon EC2,"{""pi_email"": ""yamamoto.kenji@example.edu"", ""project_id"": ""neuroimaging-atlas"", ""fund_org"": ""NIMH-2024-003""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,1050.00,892.50,892.50,892.50,i-neuroimaging-proc2,brain-processing-02,Amazon EC2,"{""pi_email"": ""yamamoto.kenji@example.edu"", ""project_id"": ""neuroimaging-atlas"", ""fund_org"": ""NIMH-2024-003""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,2450.00,2082.50,2082.50,2082.50,bucket-brain-scans,brain-scan-storage,Amazon S3,"{""pi_email"": ""yamamoto.kenji@example.edu"", ""project_id"": ""neuroimaging-atlas"", ""fund_org"": ""NIMH-2024-003""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,195.00,165.75,165.75,165.75,rds-neuro-metadata,neuro-database,Amazon RDS,"{""pi_email"": ""yamamoto.kenji@example.edu"", ""project_id"": ""neuroimaging-atlas"", ""fund_org"": ""NIMH-2024-003""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,620.00,527.00,527.00,527.00,i-econ-analysis-01,econ-compute-01,Amazon EC2,"{""pi_email"": ""patel.ravi@example.edu"", ""project_id"": ""labor-economics"", ""fund_org"": ""ECON-DEPT-2024""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,95.00,80.75,80.75,80.75,bucket-census-data,census-data-bucket,Amazon S3,"{""pi_email"": ""patel.ravi@example.edu"", ""project_id"": ""labor-economics"", ""fund_org"": ""ECON-DEPT-2024""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,135.00,114.75,114.75,114.75,rds-econ-warehouse,econ-database,Amazon RDS,"{""pi_email"": ""patel.ravi@example.edu"", ""project_id"": ""labor-economics"", ""fund_org"": ""ECON-DEPT-2024""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,750.00,637.50,637.50,637.50,i-astro-pipeline-01,astro-compute-01,Amazon EC2,"{""pi_email"": ""nguyen.linh@example.edu"", ""project_id"": ""exoplanet-survey"", ""fund_org"": ""NASA-EXOP-2024""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,750.00,637.50,637.50,637.50,i-astro-pipeline-02,astro-compute-02,Amazon EC2,"{""pi_email"": ""nguyen.linh@example.edu"", ""project_id"": ""exoplanet-survey"", ""fund_org"": ""NASA-EXOP-2024""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,3800.00,3230.00,3230.00,3230.00,bucket-telescope-raw,telescope-data-raw,Amazon S3,"{""pi_email"": ""nguyen.linh@example.edu"", ""project_id"": ""exoplanet-survey"", ""fund_org"": ""NASA-EXOP-2024""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,980.00,833.00,833.00,833.00,bucket-telescope-proc,telescope-processed,Amazon S3,"{""pi_email"": ""nguyen.linh@example.edu"", ""project_id"": ""exoplanet-survey"", ""fund_org"": ""NASA-EXOP-2024""}"
2025-12-01,2025-12-31,2025-12-01,2025-12-31,280.00,238.00,238.00,238.00,glacier-astro-archive,astro-long-term,Amazon S3 Glacier,"{""pi_email"": ""nguyen.linh@example.edu"", ""project_id"": ""exoplanet-survey"", ""fund_org"": ""NASA-EXOP-2024""}"
